
> backend@1.0.0 dev
> ts-node src/server.ts

✔️  Backend listening on port 4000
[2025-10-04T16:48:07.132Z] GET /api/summaries
[2025-10-04T16:48:17.170Z] GET /api/summaries
[2025-10-04T16:48:27.199Z] GET /api/summaries
[2025-10-04T16:48:37.234Z] GET /api/summaries
[2025-10-04T16:48:47.275Z] GET /api/summaries
[2025-10-04T16:48:57.313Z] GET /api/summaries
[2025-10-04T16:49:07.355Z] GET /api/summaries
[2025-10-04T16:49:17.391Z] GET /api/summaries
[2025-10-04T16:49:27.451Z] GET /api/summaries
[2025-10-04T16:49:37.497Z] GET /api/summaries
[2025-10-04T16:49:47.534Z] GET /api/summaries
[2025-10-04T16:49:57.574Z] GET /api/summaries
[2025-10-04T16:50:07.613Z] GET /api/summaries
[2025-10-04T16:50:17.664Z] GET /api/summaries
[2025-10-04T16:50:27.702Z] GET /api/summaries
[2025-10-04T16:50:37.737Z] GET /api/summaries
[2025-10-04T16:50:47.774Z] GET /api/summaries
[2025-10-04T16:50:57.810Z] GET /api/summaries
[2025-10-04T16:51:07.848Z] GET /api/summaries
[2025-10-04T16:51:17.886Z] GET /api/summaries
[2025-10-04T16:51:27.922Z] GET /api/summaries
[2025-10-04T16:51:37.959Z] GET /api/summaries
[2025-10-04T16:51:48.019Z] GET /api/summaries
[2025-10-04T16:51:58.058Z] GET /api/summaries
[2025-10-04T16:52:08.096Z] GET /api/summaries
[2025-10-04T16:52:18.622Z] GET /api/user
[2025-10-04T16:52:18.624Z] GET /api/billing/balance
[2025-10-04T16:52:18.624Z] GET /api/summaries
[2025-10-04T16:52:22.699Z] GET /api/preview?id=d7cf6880-c07b-45af-93fa-53689ca859de
[2025-10-04T16:52:28.664Z] GET /api/summaries
[2025-10-04T16:52:38.695Z] GET /api/summaries
[2025-10-04T16:52:48.726Z] GET /api/summaries
[2025-10-04T16:52:49.881Z] GET /api/billing/balance
[2025-10-04T16:52:51.181Z] GET /api/billing/balance
[2025-10-04T16:53:00.732Z] GET /api/billing/balance
[2025-10-04T16:53:05.845Z] GET /api/download?jobId=d7cf6880-c07b-45af-93fa-53689ca859de&format=txt
[2025-10-04T17:12:19.913Z] GET /api/user
[2025-10-04T17:12:19.944Z] GET /api/billing/balance
[2025-10-04T17:15:00.217Z] GET /api/billing/balance
[2025-10-04T17:15:00.820Z] GET /api/billing/balance
[2025-10-04T17:15:00.824Z] GET /api/summaries
[2025-10-04T17:15:03.443Z] GET /api/preview?id=d7cf6880-c07b-45af-93fa-53689ca859de
[2025-10-04T17:15:10.919Z] GET /api/summaries
[2025-10-04T17:15:20.958Z] GET /api/summaries
✔️  /health check received
[2025-10-04T20:20:13.514Z] GET /api/user/credits
[2025-10-04T20:20:16.094Z] GET /api/purchase/user-history
✔️  /health check received
✔️  /health check received
[2025-10-04T20:20:48.176Z] GET /api/user/credits
[2025-10-04T20:20:48.263Z] GET /api/purchase/user-history
[2025-10-04T20:50:05.292Z] GET /api/user/credits
[2025-10-04T20:50:05.309Z] GET /api/user
[2025-10-04T20:50:05.314Z] GET /api/billing/balance
[2025-10-04T20:50:05.321Z] GET /api/purchase/user-history
[2025-10-04T20:50:05.322Z] GET /api/user
[2025-10-04T20:50:05.324Z] GET /api/billing/balance
[2025-10-04T20:50:05.329Z] GET /api/summaries
[2025-10-05T03:15:26.878Z] GET /api/user
[2025-10-05T03:15:26.891Z] GET /api/billing/balance
[2025-10-05T03:15:28.916Z] GET /api/user
[2025-10-05T03:15:28.917Z] GET /api/billing/balance
[2025-10-05T03:53:36.183Z] GET /api/user/credits
[2025-10-05T03:53:36.211Z] GET /api/user
[2025-10-05T03:53:36.214Z] GET /api/user
[2025-10-05T03:53:36.216Z] GET /api/billing/balance
[2025-10-05T03:53:36.223Z] GET /api/billing/balance
[2025-10-05T03:53:36.225Z] GET /api/purchase/user-history
[2025-10-05T03:53:36.226Z] GET /api/summaries
